,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16,0.600429105758667,0.013010944259144728,0.29096298217773436,0.008468375451119696,0.1,"{0: 1, 1: 3}",1,rbf,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 1, 'kernel': 'rbf'}",0.8710217755443885,0.8501118568232663,0.8646827624929816,0.8823529411764705,0.8788732394366197,0.8694085150947453,0.011440590376642407,4
17,0.48228988647460935,0.01567600553577023,0.06101813316345215,0.001149274493517029,0.1,"{0: 1, 1: 3}",1,linear,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 1, 'kernel': 'linear'}",0.8282208588957055,0.7915492957746479,0.7943661971830985,0.8441193021947103,0.8277216610549945,0.8171954630206313,0.020669565008592204,34
18,0.5555607795715332,0.014939362022827606,0.268341588973999,0.006405041053460081,0.1,"{0: 1, 1: 3}",0.1,rbf,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.1, 'kernel': 'rbf'}",0.8388888888888888,0.8263772954924875,0.8253521126760563,0.8646827624929816,0.8529082774049218,0.8416418673910672,0.015256192160911513,9
19,0.5081850051879883,0.02884918889949575,0.07058124542236328,0.009788767526037905,0.1,"{0: 1, 1: 3}",0.1,linear,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.1, 'kernel': 'linear'}",0.8282208588957055,0.7915492957746479,0.7943661971830985,0.8441193021947103,0.8277216610549945,0.8171954630206313,0.020669565008592204,34
20,0.704936170578003,0.048033438304881375,0.4008840560913086,0.030019216784928526,0.1,"{0: 1, 1: 3}",0.01,rbf,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.01, 'kernel': 'rbf'}",0.8402893711741792,0.8108866442199776,0.7870894677236693,0.8455882352941175,0.8356781091727632,0.8239063655169414,0.02191838226634781,18
21,0.7213212490081787,0.08353486425405028,0.07404136657714844,0.00679399053376838,0.1,"{0: 1, 1: 3}",0.01,linear,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.01, 'kernel': 'linear'}",0.8282208588957055,0.7915492957746479,0.7943661971830985,0.8441193021947103,0.8277216610549945,0.8171954630206313,0.020669565008592204,34
22,0.984912919998169,0.06394166155545439,0.4091656684875488,0.05309404683113081,0.1,"{0: 1, 1: 3}",0.001,rbf,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.001, 'kernel': 'rbf'}",0.7845548450565668,0.7840236686390533,0.7840236686390533,0.7840236686390533,0.7840236686390533,0.784129903922556,0.00021247056700541834,49
23,0.5113943576812744,0.11838677761867579,0.05864524841308594,0.0105888961943052,0.1,"{0: 1, 1: 3}",0.001,linear,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'gamma': 0.001, 'kernel': 'linear'}",0.8282208588957055,0.7915492957746479,0.7943661971830985,0.8441193021947103,0.8277216610549945,0.8171954630206313,0.020669565008592204,34
24,0.39638309478759765,0.004576461970074582,0.21901354789733887,0.014877612006078025,1,,1,rbf,"{'C': 1, 'class_weight': None, 'gamma': 1, 'kernel': 'rbf'}",0.801621958827199,0.813664596273292,0.8161993769470406,0.8213166144200629,0.8192090395480225,0.8144023172031234,0.006899613058943366,38
25,0.5469407558441162,0.019061028683151765,0.053313589096069335,0.005901411180266254,1,,1,linear,"{'C': 1, 'class_weight': None, 'gamma': 1, 'kernel': 'linear'}",0.7129742962056304,0.6646153846153846,0.666460012399256,0.6991260923845193,0.7295482295482297,0.6945448030306041,0.025574987195646413,82
26,0.4329960823059082,0.016734597332339098,0.23879075050354004,0.016902219434130797,1,,0.1,rbf,"{'C': 1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'rbf'}",0.7835365853658537,0.7931665649786456,0.7512315270935962,0.7829070492825952,0.8088235294117647,0.783933051226491,0.018843530594263087,50
27,0.6199467182159424,0.026466188772693015,0.06784319877624512,0.011738444341293716,1,,0.1,linear,"{'C': 1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'linear'}",0.7129742962056304,0.6646153846153846,0.666460012399256,0.6991260923845193,0.7295482295482297,0.6945448030306041,0.025574987195646413,82
28,0.6197691440582276,0.03363808056930411,0.33386907577514646,0.011823532711664524,1,,0.01,rbf,"{'C': 1, 'class_weight': None, 'gamma': 0.01, 'kernel': 'rbf'}",0.7531760435571687,0.7068860450944545,0.7011070110701106,0.7263092269326682,0.7492354740061162,0.7273427601321036,0.02123445013716582,73
